age,sex,province,education,income_family,place_birth_canada,n,cell_prop_of_division_total
45 to 64 years,Female,Manitoba,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born outside Canada,21,2.8081135761593832e-5
45 to 64 years,Female,Manitoba,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born in Canada,53,7.087143787449872e-5
45 to 64 years,Female,Manitoba,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born outside Canada,24,3.2092726584678664e-5
45 to 64 years,Female,Manitoba,Less than high school diploma or its equivalent,"$150,000 and more",Born in Canada,25,3.3429923525706946e-5
45 to 64 years,Female,Manitoba,Less than high school diploma or its equivalent,"$150,000 and more",Born outside Canada,7,9.360378587197945e-6
45 to 64 years,Female,Manitoba,High school diploma or a high school equivalency certificate,"Less than $25,000",Born in Canada,97,1.2970810327974294e-4
45 to 64 years,Female,Manitoba,High school diploma or a high school equivalency certificate,"Less than $25,000",Born outside Canada,12,1.6046363292339332e-5
45 to 64 years,Female,Manitoba,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born in Canada,187,2.5005582797228796e-4
45 to 64 years,Female,Manitoba,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born outside Canada,30,4.011590823084833e-5
45 to 64 years,Female,Manitoba,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born in Canada,206,2.754625698518252e-4
45 to 64 years,Female,Manitoba,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born outside Canada,47,6.284825622832905e-5
45 to 64 years,Female,Manitoba,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born in Canada,170,2.2732347997480722e-4
45 to 64 years,Female,Manitoba,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born outside Canada,35,4.680189293598972e-5
45 to 64 years,Female,Manitoba,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born in Canada,246,3.289504474929563e-4
45 to 64 years,Female,Manitoba,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born outside Canada,43,5.749946846421594e-5
45 to 64 years,Female,Manitoba,High school diploma or a high school equivalency certificate,"$150,000 and more",Born in Canada,164,2.1930029832863755e-4
45 to 64 years,Female,Manitoba,High school diploma or a high school equivalency certificate,"$150,000 and more",Born outside Canada,18,2.4069544938509e-5
45 to 64 years,Female,Manitoba,"College, CEGEP or other non-university certificate or diploma","Less than $25,000",Born in Canada,24,3.2092726584678664e-5
45 to 64 years,Female,Manitoba,"College, CEGEP or other non-university certificate or diploma","Less than $25,000",Born outside Canada,2,2.6743938820565553e-6
45 to 64 years,Female,Manitoba,"College, CEGEP or other non-university certificate or diploma","$25,000 to $49,999",Born in Canada,33,4.412749905393317e-5
45 to 64 years,Female,Manitoba,"College, CEGEP or other non-university certificate or diploma","$25,000 to $49,999",Born outside Canada,1,1.3371969410282777e-6
45 to 64 years,Female,Manitoba,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born in Canada,34,4.546469599496144e-5
45 to 64 years,Female,Manitoba,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born outside Canada,5,6.685984705141388e-6
45 to 64 years,Female,Manitoba,"College, CEGEP or other non-university certificate or diploma","$75,000 to $99,999",Born in Canada,31,4.145310517187661e-5
45 to 64 years,Female,Manitoba,"College, CEGEP or other non-university certificate or diploma","$75,000 to $99,999",Born outside Canada,7,9.360378587197945e-6
45 to 64 years,Female,Manitoba,"College, CEGEP or other non-university certificate or diploma","$10,000 to $149,999",Born in Canada,33,4.412749905393317e-5
45 to 64 years,Female,Manitoba,"College, CEGEP or other non-university certificate or diploma","$10,000 to $149,999",Born outside Canada,9,1.20347724692545e-5
45 to 64 years,Female,Manitoba,"College, CEGEP or other non-university certificate or diploma","$150,000 and more",Born in Canada,24,3.2092726584678664e-5
45 to 64 years,Female,Manitoba,"College, CEGEP or other non-university certificate or diploma","$150,000 and more",Born outside Canada,4,5.348787764113111e-6
45 to 64 years,Female,Manitoba,University certificate or diploma below the bachelor's level,"Less than $25,000",Born in Canada,70,9.360378587197944e-5
45 to 64 years,Female,Manitoba,University certificate or diploma below the bachelor's level,"Less than $25,000",Born outside Canada,13,1.738356023336761e-5
45 to 64 years,Female,Manitoba,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born in Canada,153,2.0459113197732648e-4
45 to 64 years,Female,Manitoba,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born outside Canada,21,2.8081135761593832e-5
45 to 64 years,Female,Manitoba,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born in Canada,188,2.513930249133162e-4
45 to 64 years,Female,Manitoba,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born outside Canada,21,2.8081135761593832e-5
45 to 64 years,Female,Manitoba,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born in Canada,175,2.340094646799486e-4
45 to 64 years,Female,Manitoba,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born outside Canada,29,3.877871128982005e-5
45 to 64 years,Female,Manitoba,University certificate or diploma below the bachelor's level,"$10,000 to $149,999",Born in Canada,254,3.396480230211825e-4
45 to 64 years,Female,Manitoba,University certificate or diploma below the bachelor's level,"$10,000 to $149,999",Born outside Canada,47,6.284825622832905e-5
45 to 64 years,Female,Manitoba,University certificate or diploma below the bachelor's level,"$150,000 and more",Born in Canada,209,2.7947416067491005e-4
45 to 64 years,Female,Manitoba,University certificate or diploma below the bachelor's level,"$150,000 and more",Born outside Canada,38,5.081348375907455e-5
45 to 64 years,Female,Manitoba,Bachelor's degree,"Less than $25,000",Born in Canada,21,2.8081135761593832e-5
45 to 64 years,Female,Manitoba,Bachelor's degree,"Less than $25,000",Born outside Canada,10,1.3371969410282777e-5
45 to 64 years,Female,Manitoba,Bachelor's degree,"$25,000 to $49,999",Born in Canada,27,3.6104317407763496e-5
45 to 64 years,Female,Manitoba,Bachelor's degree,"$25,000 to $49,999",Born outside Canada,16,2.1395151056452443e-5
45 to 64 years,Female,Manitoba,Bachelor's degree,"$50,000 to $74,999",Born in Canada,57,7.622022563861182e-5
45 to 64 years,Female,Manitoba,Bachelor's degree,"$50,000 to $74,999",Born outside Canada,33,4.412749905393317e-5
45 to 64 years,Female,Manitoba,Bachelor's degree,"$75,000 to $99,999",Born in Canada,79,1.0563855834123395e-4
45 to 64 years,Female,Manitoba,Bachelor's degree,"$75,000 to $99,999",Born outside Canada,28,3.744151434879178e-5
45 to 64 years,Female,Manitoba,Bachelor's degree,"$10,000 to $149,999",Born in Canada,102,1.3639408798488432e-4
45 to 64 years,Female,Manitoba,Bachelor's degree,"$10,000 to $149,999",Born outside Canada,45,6.0173862346272496e-5
45 to 64 years,Female,Manitoba,Bachelor's degree,"$150,000 and more",Born in Canada,182,2.4336984326714655e-4
45 to 64 years,Female,Manitoba,Bachelor's degree,"$150,000 and more",Born outside Canada,32,4.2790302112904885e-5
45 to 64 years,Female,Manitoba,"University certificate, diploma or degree above the bachelor's level","Less than $25,000",Born in Canada,4,5.348787764113111e-6
45 to 64 years,Female,Manitoba,"University certificate, diploma or degree above the bachelor's level","Less than $25,000",Born outside Canada,2,2.6743938820565553e-6
45 to 64 years,Female,Manitoba,"University certificate, diploma or degree above the bachelor's level","$25,000 to $49,999",Born in Canada,5,6.685984705141388e-6
45 to 64 years,Female,Manitoba,"University certificate, diploma or degree above the bachelor's level","$25,000 to $49,999",Born outside Canada,8,1.0697575528226221e-5
45 to 64 years,Female,Manitoba,"University certificate, diploma or degree above the bachelor's level","$50,000 to $74,999",Born in Canada,5,6.685984705141388e-6
45 to 64 years,Female,Manitoba,"University certificate, diploma or degree above the bachelor's level","$50,000 to $74,999",Born outside Canada,9,1.20347724692545e-5
45 to 64 years,Female,Manitoba,"University certificate, diploma or degree above the bachelor's level","$75,000 to $99,999",Born in Canada,26,3.476712046673522e-5
45 to 64 years,Female,Manitoba,"University certificate, diploma or degree above the bachelor's level","$75,000 to $99,999",Born outside Canada,4,5.348787764113111e-6
45 to 64 years,Female,Manitoba,"University certificate, diploma or degree above the bachelor's level","$10,000 to $149,999",Born in Canada,44,5.883666540524422e-5
45 to 64 years,Female,Manitoba,"University certificate, diploma or degree above the bachelor's level","$10,000 to $149,999",Born outside Canada,8,1.0697575528226221e-5
45 to 64 years,Female,Manitoba,"University certificate, diploma or degree above the bachelor's level","$150,000 and more",Born in Canada,86,1.1499893692843188e-4
45 to 64 years,Female,Manitoba,"University certificate, diploma or degree above the bachelor's level","$150,000 and more",Born outside Canada,18,2.4069544938509e-5
45 to 64 years,Female,Saskatchewan,Less than high school diploma or its equivalent,"Less than $25,000",Born in Canada,94,1.256965124566581e-4
45 to 64 years,Female,Saskatchewan,Less than high school diploma or its equivalent,"Less than $25,000",Born outside Canada,7,9.360378587197945e-6
45 to 64 years,Female,Saskatchewan,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born in Canada,100,1.3371969410282778e-4
45 to 64 years,Female,Saskatchewan,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born outside Canada,3,4.011590823084833e-6
45 to 64 years,Female,Saskatchewan,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born in Canada,64,8.558060422580977e-5
45 to 64 years,Female,Saskatchewan,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born outside Canada,6,8.023181646169666e-6
45 to 64 years,Female,Saskatchewan,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born in Canada,51,6.819704399244216e-5
45 to 64 years,Female,Saskatchewan,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born outside Canada,4,5.348787764113111e-6
45 to 64 years,Female,Saskatchewan,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born in Canada,57,7.622022563861182e-5
45 to 64 years,Female,Saskatchewan,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born outside Canada,6,8.023181646169666e-6
45 to 64 years,Female,Saskatchewan,Less than high school diploma or its equivalent,"$150,000 and more",Born in Canada,22,2.941833270262211e-5
45 to 64 years,Female,Saskatchewan,Less than high school diploma or its equivalent,"$150,000 and more",Born outside Canada,3,4.011590823084833e-6
45 to 64 years,Female,Saskatchewan,High school diploma or a high school equivalency certificate,"Less than $25,000",Born in Canada,99,1.323824971617995e-4
45 to 64 years,Female,Saskatchewan,High school diploma or a high school equivalency certificate,"Less than $25,000",Born outside Canada,3,4.011590823084833e-6
45 to 64 years,Female,Saskatchewan,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born in Canada,158,2.112771166824679e-4
45 to 64 years,Female,Saskatchewan,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born outside Canada,10,1.3371969410282777e-5
45 to 64 years,Female,Saskatchewan,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born in Canada,199,2.661021912646273e-4
45 to 64 years,Female,Saskatchewan,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born outside Canada,17,2.273234799748072e-5
45 to 64 years,Female,Saskatchewan,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born in Canada,172,2.2999787385686376e-4
45 to 64 years,Female,Saskatchewan,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born outside Canada,9,1.20347724692545e-5
45 to 64 years,Female,Saskatchewan,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born in Canada,252,3.3697362913912596e-4
45 to 64 years,Female,Saskatchewan,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born outside Canada,11,1.4709166351311055e-5
45 to 64 years,Female,Saskatchewan,High school diploma or a high school equivalency certificate,"$150,000 and more",Born in Canada,195,2.6075340350051416e-4
